StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam	start=(1000,15933,16500),  end=(3500,15933,16500)	StbBeam	StbBeam	StbBeam	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@id	start=(1000,15933,16500),  end=(3500,15933,16500)	@id	116	116	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@guid	start=(1000,15933,16500),  end=(3500,15933,16500)	@guid	229aef7adcad4614a373db67d499e433	45b2356ee8934d0cb5e397ff51aaa175	Inconsistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@name	start=(1000,15933,16500),  end=(3500,15933,16500)	@name	b3	b3	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@id_node_start	start=(1000,15933,16500),  end=(3500,15933,16500)	@id_node_start	76	76	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@id_node_end	start=(1000,15933,16500),  end=(3500,15933,16500)	@id_node_end	77	77	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@rotate	start=(1000,15933,16500),  end=(3500,15933,16500)	@rotate	0	0	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@id_section	start=(1000,15933,16500),  end=(3500,15933,16500)	@id_section	/b3	/b3	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@kind_structure	start=(1000,15933,16500),  end=(3500,15933,16500)	@kind_structure	S	S	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@isFoundation	start=(1000,15933,16500),  end=(3500,15933,16500)	@isFoundation	False	False	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@condition_start	start=(1000,15933,16500),  end=(3500,15933,16500)	@condition_start	FIX	FIX	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@condition_end	start=(1000,15933,16500),  end=(3500,15933,16500)	@condition_end	FIX	FIX	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@kind_haunch_start	start=(1000,15933,16500),  end=(3500,15933,16500)	@kind_haunch_start	SLOPE	SLOPE	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@kind_haunch_end	start=(1000,15933,16500),  end=(3500,15933,16500)	@kind_haunch_end	SLOPE	SLOPE	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@type_haunch_H	start=(1000,15933,16500),  end=(3500,15933,16500)	@type_haunch_H	BOTH	BOTH	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@type_haunch_V	start=(1000,15933,16500),  end=(3500,15933,16500)	@type_haunch_V	BOTH	BOTH	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@kind_joint_start	start=(1000,15933,16500),  end=(3500,15933,16500)	@kind_joint_start	WELD	WELD	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@kind_joint_end	start=(1000,15933,16500),  end=(3500,15933,16500)	@kind_joint_end	WELD	WELD	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam	start=(1000,18067,16500),  end=(3500,18067,16500)	StbBeam	StbBeam	StbBeam	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@id	start=(1000,18067,16500),  end=(3500,18067,16500)	@id	117	117	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@guid	start=(1000,18067,16500),  end=(3500,18067,16500)	@guid	4c42eec28f764149bd89dd80e62dfda9	c754697a262c42b68fa964c6471d4723	Inconsistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@name	start=(1000,18067,16500),  end=(3500,18067,16500)	@name	b3	b3	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@id_node_start	start=(1000,18067,16500),  end=(3500,18067,16500)	@id_node_start	78	78	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@id_node_end	start=(1000,18067,16500),  end=(3500,18067,16500)	@id_node_end	79	79	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@rotate	start=(1000,18067,16500),  end=(3500,18067,16500)	@rotate	0	0	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@id_section	start=(1000,18067,16500),  end=(3500,18067,16500)	@id_section	/b3	/b3	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@kind_structure	start=(1000,18067,16500),  end=(3500,18067,16500)	@kind_structure	S	S	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@isFoundation	start=(1000,18067,16500),  end=(3500,18067,16500)	@isFoundation	False	False	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@condition_start	start=(1000,18067,16500),  end=(3500,18067,16500)	@condition_start	FIX	FIX	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@condition_end	start=(1000,18067,16500),  end=(3500,18067,16500)	@condition_end	FIX	FIX	Consistent	Required
StbBeams	/ST_BRIDGE/StbModel/StbMembers/StbBeams/StbBeam/@kind_haunch_start	start=(1000,18067,16500),  end=(3500,18067,16500)	@kind_haunch_start	SLOPE	SLOPE	Consistent	Required
